dico,indicator,name,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006
812,dormidas,São Brás de Alportel,3475,,,,2445,,,,,,,
813,dormidas,Silves,366297,351690,316091,272667,262382,177114,182929,201885,209053,244076,299140,288206
814,dormidas,Tavira,707456,628975,638139,691456,569450,586598,613052,610313,606612,679571,722017,651206
815,dormidas,Vila do Bispo,381379,329759,300869,269509,241406,211563,177437,117031,122079,121174,86721,117944
816,dormidas,Vila Real de Santo António,1214527,1167512,1077242,1035324,997199,914862,982213,990137,958486,1000065,958401,968448
901,dormidas,Aguiar da Beira,1970,4078,5092,,,,,,,,,
902,dormidas,Almeida,18923,17897,16181,16516,15379,15956,15176,16637,16096,17141,18666,16955
903,dormidas,Celorico da Beira,15926,16178,14004,16198,20105,16626,21343,22787,,16498,,
904,dormidas,Figueira de Castelo Rodrigo,4402,3798,6022,6116,6477,,,5468,6476,,6557,6940
905,dormidas,Fornos de Algodres,19765,17900,25219,,20169,,,,,,,
906,dormidas,Gouveia,8063,9412,10046,10553,15160,9795,12710,13201,10376,,9750,
907,dormidas,Guarda,76162,74463,72510,65520,56074,47261,53424,65742,64839,68959,66178,61932
908,dormidas,Manteigas,11036,5551,3306,5075,19021,8331,,,,10076,9062,9710
909,dormidas,Mêda,295,122,240,,5391,,,,,,,
910,dormidas,Pinhel,72,74,52,,,,,,,,,
911,dormidas,Sabugal,5387,6683,4580,63,,,,,,,,
912,dormidas,Seia,44788,56542,43018,46218,48081,36987,38522,38871,36002,,39088,40233
913,dormidas,Trancoso,18388,13151,11138,,6729,,,,,,,
914,dormidas,Vila Nova de Foz Côa,2668,2549,2925,4994,5175,,,,,,,
1001,dormidas,Alcobaça,94608,78194,69769,64797,60137,53694,54407,56109,53368,58337,60942,55313
1002,dormidas,Alvaiázere,1946,,,,,,,,,,,
1003,dormidas,Ansião,839,1068,1097,,,,,,,,,
1004,dormidas,Batalha,63724,50659,47746,39767,30930,35469,38255,27682,,22198,19312,16331
1005,dormidas,Bombarral,11010,,,,3888,4323,6835,6958,6383,,,
1006,dormidas,Caldas da Rainha,178168,155593,132226,112995,70447,63817,58509,59651,73290,88663,86309,66313
1007,dormidas,Castanheira de Pêra,,2990,3293,,,,,,,,,
1008,dormidas,Figueiró dos Vinhos,4237,4896,3638,,3869,,,,,,,
1009,dormidas,Leiria,253303,213883,175477,167685,148453,142820,155768,169763,129252,148024,156851,159278
1010,dormidas,Marinha Grande,126107,115267,115517,110824,90360,83114,,111288,112601,112051,113219,90914
1011,dormidas,Nazaré,195949,150381,145433,135089,125776,110197,118586,80821,81654,80665,75967,67426
1012,dormidas,Óbidos,220258,199286,183932,215877,230863,195893,187458,,136616,157217,151927,159899
1013,dormidas,Pedrógão Grande,,,,,2200,1842,2483,2156,2224,,,
1014,dormidas,Peniche,177931,172189,151038,135259,116554,99385,,87653,86513,101667,103202,91965
1015,dormidas,Pombal,41878,39158,37397,33936,32441,,28848,,28242,,,18226
1016,dormidas,Porto de Mós,4195,2488,2608,2578,4348,,,,,,,
1101,dormidas,Alenquer,3258,2503,,,,,,,,,,
1102,dormidas,Arruda dos Vinhos,8176,6667,5693,,3368,147,,,,,,
1103,dormidas,Azambuja,18355,9713,7315,4711,,,,,,,,
1104,dormidas,Cadaval,,,,,,,,,,,,
1105,dormidas,Cascais,1589183,1426161,1346729,1309790,1223295,1202055,1190605,1079462,981729,1076175,1221913,1208268
1106,dormidas,Lisboa,12553476,11066130,9996817,8994006,10386705,9439853,9027432,8620423,7905937,8410405,8679040,8162614
1107,dormidas,Loures,121300,112732,110382,105499,105103,95183,,,,,,
1108,dormidas,Lourinhã,17990,10858,17762,14967,8394,5718,,7324,,,,9616
1109,dormidas,Mafra,166731,156028,139402,128923,125743,90059,86636,88184,,93291,100238,90224
1110,dormidas,Oeiras,357024,340063,340399,327789,282480,228822,215644,219726,190890,222877,227241,170396
1111,dormidas,Sintra,530771,438146,395262,351585,332837,250677,241747,220992,194805,208913,236676,200550
1112,dormidas,Sobral de Monte Agraço,,,,,,,,,,,,
1113,dormidas,Torres Vedras,205426,178385,159522,140098,123105,136201,173018,147751,159565,140562,110573,88888
1114,dormidas,Vila Franca de Xira,,54900,49624,,,,,,24820,,,
1115,dormidas,Amadora,131590,120978,103061,95423,58965,,58007,66435,22649,24089,23008,22036
1116,dormidas,Odivelas,,,,,,,,,,,,
1201,dormidas,Alter do Chão,11528,11814,11311,9068,7743,,,,,,,
1202,dormidas,Arronches,7587,3855,3569,,,,,,,,,
1203,dormidas,Avis,13052,13561,12402,11987,10910,,,,,,,
1204,dormidas,Campo Maior,,6524,6122,,,,,,,,,
1205,dormidas,Castelo de Vide,36188,33278,28773,33617,35298,28189,28663,,33868,36509,37964,23844
1206,dormidas,Crato,11320,8927,8217,,10710,,,,,,,
1207,dormidas,Elvas,62697,53592,47572,36800,46432,38690,53367,63764,63744,66601,56456,52223
1208,dormidas,Fronteira,,,,,,,,,,,,
1209,dormidas,Gavião,3483,,,,,,,,,,,
1210,dormidas,Marvão,21009,18607,19845,18726,26958,16084,19655,21028,20584,22282,20664,20396
1211,dormidas,Monforte,,,,393,,,,,,,,
1212,dormidas,Nisa,17307,15801,15173,,1210,,,,,,,
1213,dormidas,Ponte de Sor,48302,48748,43002,,25967,,,,,,,
1214,dormidas,Portalegre,25490,17673,15704,14750,13842,,,,17115,17249,19348,21001
1215,dormidas,Sousel,1218,408,,,,,,,,,,
1301,dormidas,Amarante,43816,41950,36289,34821,33428,24250,21587,24252,25341,24980,30410,29564
1302,dormidas,Baião,44324,39957,27721,,27181,,,,,,,
1303,dormidas,Felgueiras,11357,3970,3930,,5157,5091,6485,8689,12051,12197,10081,6891
1304,dormidas,Gondomar,,,5754,,,,,,4755,,,
1305,dormidas,Lousada,1335,1202,1422,,4027,,,,,,,
1306,dormidas,Maia,163576,133462,113634,101399,84630,70661,63302,70456,66928,79268,70179,69060
1307,dormidas,Marco de Canaveses,2559,1772,2455,,2234,,,,,,,
1308,dormidas,Matosinhos,455245,423121,343756,316306,279727,233375,236498,230726,196338,163369,137566,101757
1309,dormidas,Paços de Ferreira,8010,7339,8404,,10264,,,,,,,
1310,dormidas,Paredes,54390,49145,38863,33984,27619,26812,28167,11458,12683,14243,16528,14946
1311,dormidas,Penafiel,54089,48199,45399,43207,26147,27082,28706,36061,29861,23195,8665,11041
1312,dormidas,Porto,3778099,3300011,2877970,2540739,2102481,1815157,1783781,1690918,1457336,1513311,1460382,1302763
1313,dormidas,Póvoa de Varzim,197525,172669,162919,142405,139184,138643,144608,145386,159056,157174,174944,175850
1314,dormidas,Santo Tirso,63150,60595,56036,,46794,47525,50449,54720,57388,35654,25133,24749
1315,dormidas,Valongo,85040,87419,82067,65006,53520,,,,,,,
1316,dormidas,Vila do Conde,67495,60787,55404,45585,50897,46980,48177,49287,36869,34237,35802,37503
1317,dormidas,Vila Nova de Gaia,658653,591851,563408,489618,441220,357098,376177,355621,384754,373449,389236,330069
1318,dormidas,Trofa,,,,,17765,8642,11976,15624,16726,,,
1401,dormidas,Abrantes,15202,13647,16698,17769,20987,22999,21117,26486,30193,34600,31381,28104
1402,dormidas,Alcanena,9209,13411,9841,,8445,7401,10169,9358,9612,,,
1403,dormidas,Almeirim,20311,18143,15802,16076,18087,,,,,,,
1404,dormidas,Alpiarça,,,,,,,,,,,,
1405,dormidas,Benavente,22412,19625,14169,14631,13599,,,,,,,
1406,dormidas,Cartaxo,1022,,,,,,,,,,,
1407,dormidas,Chamusca,,,,,,,,,,,,
1408,dormidas,Constância,5952,,,,2070,1147,2341,3015,3563,,,
1409,dormidas,Coruche,5466,3842,2449,,1536,,,,,,,
1410,dormidas,Entroncamento,,,,,7902,7574,8278,10490,9663,,,
1411,dormidas,Ferreira do Zêzere,14803,11324,,,4724,,,,,,,
1412,dormidas,Golegã,9762,7420,7239,,6085,,,,,,,
1413,dormidas,Mação,,,,4,,,,,,,,
1414,dormidas,Rio Maior,10490,10655,9461,,10564,,,,,,,
1415,dormidas,Salvaterra de Magos,,,,,,,,,,,,
1416,dormidas,Santarém,75417,56533,51063,44573,40746,43155,44774,44428,46184,50587,53875,58700
1417,dormidas,Sardoal,,,,,113,,,,,,,
1418,dormidas,Tomar,102042,84542,75652,68257,59653,62090,62977,62579,65219,74945,78938,74496
1419,dormidas,Torres Novas,21514,19576,16382,,20327,,,,,,,
1420,dormidas,Vila Nova da Barquinha,3863,2987,2448,,,,,,,,,
1421,dormidas,Ourém,1290170,767681,723955,645826,581422,572861,599925,532651,505011,500807,519738,432362
1501,dormidas,Alcácer do Sal,49819,49417,45208,48955,45390,33696,40677,41123,35557,25415,31098,28915
1502,dormidas,Alcochete,17271,15812,11865,9859,13151,7298,7419,,,,,
1503,dormidas,Almada,374433,355299,327428,319639,288660,259139,238153,213132,187761,244886,178095,185697
1504,dormidas,Barreiro,,,,,,,,,,,,
1505,dormidas,Grândola,335215,284325,240265,231857,192209,177394,139762,110857,85017,28158,39815,41687
1506,dormidas,Moita,,,,,,,,,,,,
1507,dormidas,Montijo,119218,111532,84311,46408,27947,26686,29703,,,,,26272
1508,dormidas,Palmela,100704,96873,78219,76288,70008,78508,91006,75996,45437,45537,26811,23956
1509,dormidas,Santiago do Cacém,58352,45363,36891,38155,44343,47917,63457,50199,46318,54170,51372,46267
