dico,name,indicator,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
1411,Ferreira do Zêzere,pop-residente,8959,8876,8819,8724,8634,8562,8460,8357,8268,8191
1412,Golegã,pop-residente,5589,5580,5556,5506,5469,5435,5389,5337,5654,5576
1413,Mação,pop-residente,7823,7727,7599,7518,7383,7235,7089,6946,6794,6698
1414,Rio Maior,pop-residente,21261,21268,21248,21237,21220,21201,21110,21063,20872,20704
1415,Salvaterra de Magos,pop-residente,21499,21714,21873,22034,22191,22223,22196,22190,21963,21755
1416,Santarém,pop-residente,63162,63023,62778,62596,62309,61788,61222,60686,59406,58688
1417,Sardoal,pop-residente,4025,4017,3993,3973,3946,3945,3913,3874,3837,3821
1418,Tomar,pop-residente,41816,41559,41257,41035,40786,40208,39666,39085,38581,38183
1419,Torres Novas,pop-residente,36977,36971,36914,36838,36812,36590,36338,36056,35738,35587
1420,Vila Nova da Barquinha,pop-residente,7464,7442,7395,7356,7320,7341,7334,7329,7301,7286
1421,Ourém,pop-residente,46299,46285,46238,46140,46001,45885,45638,45452,45127,45037
1501,Alcácer do Sal,pop-residente,13601,13480,13328,13172,13065,12938,12716,12563,12362,12170
1502,Alcochete,pop-residente,15676,16141,16629,17093,17564,17916,18175,18410,18658,18807
1503,Almada,pop-residente,169105,170407,171758,173030,174237,173574,172206,170756,170139,169689
1504,Barreiro,pop-residente,79100,79074,79043,79025,78913,78574,77941,77212,76775,76433
1505,Grândola,pop-residente,14945,14949,14947,14927,14876,14915,14954,14985,14835,14708
1506,Moita,pop-residente,66761,66633,66456,66296,66056,66125,65831,65433,65288,65104
1507,Montijo,pop-residente,46207,47477,48740,49978,51207,52347,53233,53939,54600,55153
1508,Palmela,pop-residente,59136,60115,61034,61914,62876,63412,63694,63752,64019,64110
1509,Santiago do Cacém,pop-residente,30404,30262,30096,29980,29792,29830,29833,29794,29500,29183
1510,Seixal,pop-residente,155389,156181,156863,157571,158285,160237,161436,162516,163737,164625
1511,Sesimbra,pop-residente,44691,45951,47180,48350,49506,49969,50214,50337,50601,50734
1512,Setúbal,pop-residente,118493,119216,119971,120643,121257,120864,119799,118689,118166,117780
1513,Sines,pop-residente,14001,14071,14126,14194,14255,14185,14076,13984,13818,13678
1601,Arcos de Valdevez,pop-residente,23754,23629,23409,23185,22906,22709,22426,22142,21885,21621
1602,Caminha,pop-residente,16982,16935,16849,16829,16726,16645,16512,16417,16248,16104
1603,Melgaço,pop-residente,9576,9500,9430,9356,9245,9137,8943,8804,8670,8558
1604,Monção,pop-residente,19649,19580,19492,19404,19282,19186,19025,18836,18626,18467
1605,Paredes de Coura,pop-residente,9388,9348,9293,9267,9213,9166,9086,8991,8898,8833
1606,Ponte da Barca,pop-residente,12494,12422,12313,12215,12083,12018,11889,11768,11639,11516
1607,Ponte de Lima,pop-residente,44222,44150,43977,43799,43554,43482,43283,43019,42708,42512
1608,Valença,pop-residente,14214,14192,14185,14166,14155,14045,13933,13804,13664,13554
1609,Viana do Castelo,pop-residente,89554,89561,89315,89210,88851,88522,87896,87243,86620,86136
1610,Vila Nova de Cerveira,pop-residente,9150,9198,9229,9259,9291,9239,9166,9110,9039,8969
1701,Alijó,pop-residente,12980,12749,12494,12244,11962,11840,11641,11452,11246,11093
1702,Boticas,pop-residente,6051,5970,5895,5846,5768,5694,5591,5488,5394,5309
